IFC_Roof_MaterialFraction,,,
Type,Description,Material: Name,Thickness
,,,
ARQ_PH00_ROO_R2_RoofTiles,,_MAT_PH00_CERAMIC_CeramicRoofingTiles,0.05
ARQ_PH00_ROO_R2_RoofTiles,,_MAT_PH00_WOOD_WoodFrame,0.05
ARQ_PH00_ROO_R2_RoofTiles,,_MAT_PH01_GAS_Air,0.05
ARQ_PH01_ROO_Flat_Asphaltic_100mm,Flat Roof_ Asphaltic_100mm,_MAT_PH01_BITUMINOUS_AsphalticLayer,
ARQ_PH01_ROO_Flat_Asphaltic_100mm,Flat Roof_ Asphaltic_100mm,_MAT_PH01_BITUMINOUS_AsphalticLayer,
ARQ_PH01_ROO_Flat_Asphaltic_100mm,Flat Roof_ Asphaltic_100mm,_MAT_PH01_CONCRETE_CementMortar_Slope,
ARQ_PH01_ROO_Flat_Asphaltic_100mm,Flat Roof_ Asphaltic_100mm,_MAT_PH01_CONCRETE_CementMortar_Slope,
ARQ_PH01_ROO_R2_RoofTiles,Pitched Roof_Ceramic_50mm,_MAT_PH00_CERAMIC_CeramicRoofingTiles,0.05
ARQ_PH01_ROO_R2_RoofTiles,Pitched Roof_Ceramic_50mm,_MAT_PH00_WOOD_WoodFrame,0.05
ARQ_PH01_ROO_R2_RoofTiles,Pitched Roof_Ceramic_50mm,_MAT_PH01_GAS_Air,0.05
ARQ_PH01_ROO_R3_RoofInsulation,Roof imineral wool insulation_140mm,_MAT_PH01_INSULATION_RockWool,0.14
STR_PH00_ROO_R1_OneDirectionalSlab_150,Ceramic slab_150mm,_MAT_PH00_CONCRETE_OneDirectionSlab_Ceramic,0.15
STR_PH01_ROO_ReinforcedConcrete_150,Reinforced Concrete_150mm,_MAT_PH01_CONCRETE_ReinforcedConcrete_Slab,0.15
