IFC_Wall_MaterialFraction,,,
Type,Material: Name,Width
,,
ARC_PH00_FAC_F1.1_ReinforcedConcreteCore_220mm_Beige,_MAT_PH00_AGGREGATES_CementMortar_Beige,0.22
ARC_PH00_FAC_F1.1_ReinforcedConcreteCore_220mm_Beige,_MAT_PH00_CONCRETE_ReinforcedConcrete_Wall,0.22
,,
ARC_PH00_FAC_F1.1_ReinforcedConcreteCore_220mm_Red,_MAT_PH00_AGGREGATES_CementMortar_Red,0.22
ARC_PH00_FAC_F1.1_ReinforcedConcreteCore_220mm_Red,_MAT_PH00_CONCRETE_ReinforcedConcrete_Wall,0.22
,,
ARC_PH00_FAC_F2_BrickPartyWall_80mm,_MAT_PH00_GYPSUM_GypsumFinishing,0.10
ARC_PH00_FAC_F2_BrickPartyWall_80mm,_MAT_PH00_MASONRY_DoubleHollowBrick,0.10
,,
ARC_PH00_FAC_WE1.1_Concrete_Beige_200mm,_MAT_PH00_AGGREGATES_CementMortar_Beige,0.22
ARC_PH00_FAC_WE1.1_Concrete_Beige_200mm,_MAT_PH00_CONCRETE_ReinforcedConcrete_Wall,0.22
,,
ARC_PH00_FAC_WE2_Brick_100mm,_MAT_PH00_GYPSUM_GypsumFinishing,0.10
ARC_PH00_FAC_WE2_Brick_100mm,_MAT_PH00_MASONRY_DoubleHollowBrick,0.10
,,
ARC_PH00_MUR_M1_BrickPartition_100mm,_MAT_PH00_GYPSUM_GypsumFinishing,0.10
ARC_PH00_MUR_M1_BrickPartition_100mm,_MAT_PH00_MASONRY_DoubleHollowBrick,0.10
,,
ARC_PH01_FAC_F3.2_ETICSCore_100mm,_MAT_PH01_AGGREGATES_CementMortar_White,0.10
ARC_PH01_FAC_F3.2_ETICSCore_100mm,_MAT_PH01_INSULATION_RockWool,0.10
,,
ARC_PH01_FAC_F3.2_FVentilated_150mm,_MAT_PH01_CERAMIC_FacadeCladding_Beige,0.14
ARC_PH01_FAC_F3.2_FVentilated_150mm,_MAT_PH01_GAS_Air,0.14
ARC_PH01_FAC_F3.2_FVentilated_150mm,_MAT_PH01_INSULATION_RockWool,0.14
,,
ARC_PH01_FAC_F3.2_FVentilatedCore_100mm,_MAT_PH01_CERAMIC_FacadeCladding_Beige,0.14
ARC_PH01_FAC_F3.2_FVentilatedCore_100mm,_MAT_PH01_GAS_Air,0.14
ARC_PH01_FAC_F3.2_FVentilatedCore_100mm,_MAT_PH01_INSULATION_RockWool,0.14
,,
ARC_PH01_FAC_F3.4_Composite_10mm,_MAT_PH01_METAL_AluminiumComposite,0.01
,,
ARC_PH01_FAC_WE1.3_ETICS_120mm,_MAT_PH01_AGGREGATES_CementMortar_White,0.12
ARC_PH01_FAC_WE1.3_ETICS_120mm,_MAT_PH01_INSULATION_EPS,0.12
,,
ARC_PH01_FAC_WE3.3_Brick_90mm,_MAT_PH01_MASONRY_DoubleHollowBrick,0.09
,,
ARC_PH01_MUR_M1.1_DryWall_GypsumBoard_75mm,_MAT_PH01_GAS_Air,0.08
ARC_PH01_MUR_M1.1_DryWall_GypsumBoard_75mm,_MAT_PH01_GYPSUM_PlasterBoard,0.08
ARC_PH01_MUR_M1.1_DryWall_GypsumBoard_75mm,_MAT_PH01_METAL_AluminiumFrame_Walls,0.08
,,
ARC_PH01_MUR_M1.2_DryWall_GypsumBoard_25mm,_MAT_PH01_GYPSUM_PlasterBoard,0.03
,,
EST_PH00_CIM_E0_ReiforcedConcrete_150mm,_MAT_PH00_CONCRETE_ReinforcedConcrete_Wall,0.15
,,
EST_PH00_CIM_E1_ReinforcedConcrete_200mm,_MAT_PH00_CONCRETE_ReinforcedConcrete_Wall,0.20
,,
EST_PH01_CIM_SW1.2_ReinforcedConcrete_250mm,_MAT_PH00_CONCRETE_ReinforcedConcrete_Wall,0.25
,,
STR_PH00_FAC_F1.1_ReinforcedConcrete_220mm_Red,_MAT_PH00_AGGREGATES_CementMortar_Red,0.22
STR_PH00_FAC_F1.1_ReinforcedConcrete_220mm_Red,_MAT_PH00_CONCRETE_ReinforcedConcrete_Wall,0.22
,,
STR_PH00_MUR_SW1_ReinforcedConcrete_200mm,_MAT_PH00_CONCRETE_ReinforcedConcrete_Wall,0.20
,,
